Team,Season Rank,Product Name,Product Link,Reviews
Alpine,1,Alpine Racing F1 Franco Colapinto Relaxed Fit T-Shirt,https://www.amazon.com/s?k=Alpine%20Racing%20F1%20Franco%20Colapinto%20Relaxed%20Fit%20T-Shirt,
Alpine,2,Alpine Racing F1 2025 Men's Team T-Shirt,https://www.amazon.com/s?k=Alpine%20Racing%20F1%202025%20Men%27s%20Team%20T-Shirt,
Alpine,3,Alpine Racing F1 2025 Men's Team Polo Shirt,https://www.amazon.com/s?k=Alpine%20Racing%20F1%202025%20Men%27s%20Team%20Polo%20Shirt,
Alpine,4,1:43 Race BWT Alpine F1 Team A523 (2023) w/Driver,https://www.amazon.com/s?k=1%3A43%20Race%20BWT%20Alpine%20F1%20Team%20A523%20%282023%29%20w/Driver,
Alpine,5,Alpine Racing F1 2025 Team Pullover Hoodie,https://www.amazon.com/s?k=Alpine%20Racing%20F1%202025%20Team%20Pullover%20Hoodie,
Sauber,1,"CaDA C64010W Kick Sauber F1 Team C44 Racing Building Set,MOC 1:8 F1 Building Block Car,Formula 1 Championship Super Car Model for Adults (2553pcs)",https://www.amazon.com/s?k=CaDA%20C64010W%20Kick%20Sauber%20F1%20Team%20C44%20Racing%20Building%20Set%2CMOC%201%3A8%20F1%20Building%20Block%20Car%2CFormula%201%20Championship%20Super%20Car%20Model%20for%20Adults%20%282553pcs%29,
Sauber,2,"CaDA C64010W C44 Kick Sauber & Pirelli Official Licensed 1:8 Scale F1 Racing Car Building Blocks Set 2553 Piece Model Car Kit with DRS System, STEM Educational Toy for Adults & Teens [Authorized]",https://www.amazon.com/s?k=CaDA%20C64010W%20C44%20Kick%20Sauber%20%26%20Pirelli%20Official%20Licensed%201%3A8%20Scale%20F1%20Racing%20Car%20Building%20Blocks%20Set%202553%20Piece%20Model%20Car%20Kit%20with%20DRS%20System%2C%20STEM%20Educational%20Toy%20for%20Adults%20%26%20Teens%20%5BAuthorized%5D,
Sauber,3,Hot Wheels Premium 2024 Formula 1 Kick Sauber F1 Team - #77 - JBM13,https://www.amazon.com/s?k=Hot%20Wheels%20Premium%202024%20Formula%201%20Kick%20Sauber%20F1%20Team%20-%20%2377%20-%20JBM13,
Sauber,4,"1:24 Model Car Kits for Stake F1 Team Kick Sauber C44, Formula 1 Toys Building Set with 319 Pcs Blocks, Free Wheel, Cool Cockpit, Ideas Race Car Collectibles Gifts for Boyfriend, Adults, Green",https://www.amazon.com/s?k=1%3A24%20Model%20Car%20Kits%20for%20Stake%20F1%20Team%20Kick%20Sauber%20C44%2C%20Formula%201%20Toys%20Building%20Set%20with%20319%20Pcs%20Blocks%2C%20Free%20Wheel%2C%20Cool%20Cockpit%2C%20Ideas%20Race%20Car%20Collectibles%20Gifts%20for%20Boyfriend%2C%20Adults%2C%20Green,
Sauber,5,Speedgear Stake F1 Sauber Kick Team Polo Shirt Black,https://www.amazon.com/s?k=Speedgear%20Stake%20F1%20Sauber%20Kick%20Team%20Polo%20Shirt%20Black,
Haas,1,CMC Motorsports Haas Racing F1 2024 Men's Team Fitted Polo Shirt,https://www.amazon.com/s?k=CMC%20Motorsports%20Haas%20Racing%20F1%202024%20Men%27s%20Team%20Fitted%20Polo%20Shirt,
Haas,2,"LEGO Speed Champions MoneyGram Haas F1 Team VF-24 Race Car Toy - Building Set for Kids, Boys & Girls, Ages 10+ - Toy Car for F1 Fans - Gift Idea for Birthday - 77250",https://www.amazon.com/s?k=LEGO%20Speed%20Champions%20MoneyGram%20Haas%20F1%20Team%20VF-24%20Race%20Car%20Toy%20-%20Building%20Set%20for%20Kids%2C%20Boys%20%26%20Girls%2C%20Ages%2010%2B%20-%20Toy%20Car%20for%20F1%20Fans%20-%20Gift%20Idea%20for%20Birthday%20-%2077250,
Haas,3,CMC Motorsports Haas Racing F1 Team Logo Hat - Black,https://www.amazon.com/s?k=CMC%20Motorsports%20Haas%20Racing%20F1%20Team%20Logo%20Hat%20-%20Black,
Haas,4,Castore Haas Racing F1 2026 Men's Team Set Up T-Shirt,https://www.amazon.com/s?k=Castore%20Haas%20Racing%20F1%202026%20Men%27s%20Team%20Set%20Up%20T-Shirt,
Haas,5,Castore Haas Racing F1 2026 Men's Team Polo Shirt,https://www.amazon.com/s?k=Castore%20Haas%20Racing%20F1%202026%20Men%27s%20Team%20Polo%20Shirt,
Mclaren,1,"Speed Champions 2023 McLaren Formula 1 Race Car Toy for Play and Display, Buildable McLaren Toy Set for Kids, F1 Toy Gift Idea for Boys and Girls Ages 9 and Up who Enjoy Independent Play, 76919",https://www.amazon.com/s?k=Speed%20Champions%202023%20McLaren%20Formula%201%20Race%20Car%20Toy%20for%20Play%20and%20Display%2C%20Buildable%20McLaren%20Toy%20Set%20for%20Kids%2C%20F1%20Toy%20Gift%20Idea%20for%20Boys%20and%20Girls%20Ages%209%20and%20Up%20who%20Enjoy%20Independent%20Play%2C%2076919,
Mclaren,2,McLaren F1 2025 Men's Team Polo Shirt,https://www.amazon.com/s?k=McLaren%20F1%202025%20Men%27s%20Team%20Polo%20Shirt,
Mclaren,3,"Speed Champions McLaren F1 Team MCL38 Race Car Toy - Building Set for Kids, Boys & Girls, Ages 10+ - Toy Car for F1 Fans - Gift Idea for Birthday - 77251",https://www.amazon.com/s?k=Speed%20Champions%20McLaren%20F1%20Team%20MCL38%20Race%20Car%20Toy%20-%20Building%20Set%20for%20Kids%2C%20Boys%20%26%20Girls%2C%20Ages%2010%2B%20-%20Toy%20Car%20for%20F1%20Fans%20-%20Gift%20Idea%20for%20Birthday%20-%2077251,
Mclaren,4,"Technic McLaren MCL39 F1 Car Building Set for Adults - Room or Office Decor for Men & Women, Ages 18+ - F1 Gifts for Fans - Authentic Details - 42228",https://www.amazon.com/s?k=Technic%20McLaren%20MCL39%20F1%20Car%20Building%20Set%20for%20Adults%20-%20Room%20or%20Office%20Decor%20for%20Men%20%26%20Women%2C%20Ages%2018%2B%20-%20F1%20Gifts%20for%20Fans%20-%20Authentic%20Details%20-%2042228,
Mclaren,5,McLaren F1 2025 Men's Team T-Shirt,https://www.amazon.com/s?k=McLaren%20F1%202025%20Men%27s%20Team%20T-Shirt,
Redbull,1,Red Bull Racing F1 Men's 2025 Team Polo Shirt,https://www.amazon.com/s?k=Red%20Bull%20Racing%20F1%20Men%27s%202025%20Team%20Polo%20Shirt,
Redbull,2,Red Bull Racing F1 Men's 2025 Team T-Shirt,https://www.amazon.com/s?k=Red%20Bull%20Racing%20F1%20Men%27s%202025%20Team%20T-Shirt,
Redbull,3,"F1 Oracle Red Bull Racing Official Fleece Throw Blanket 47x59 in, Soft Warm Polyester Blanket for Couch, Bed and Travel, Gift for Motorsport Fans",https://www.amazon.com/s?k=F1%20Oracle%20Red%20Bull%20Racing%20Official%20Fleece%20Throw%20Blanket%2047x59%20in%2C%20Soft%20Warm%20Polyester%20Blanket%20for%20Couch%2C%20Bed%20and%20Travel%2C%20Gift%20for%20Motorsport%20Fans,
Redbull,4,"Speed Champions Oracle Red Bull Racing RB20 F1 Race Car Model Kits - Building Set for Adults, Ages 18+ with Realistic Features - Red Bull F1 DIY Crafts for Display - Gift Idea for Fans - 77243",https://www.amazon.com/s?k=Speed%20Champions%20Oracle%20Red%20Bull%20Racing%20RB20%20F1%20Race%20Car%20Model%20Kits%20-%20Building%20Set%20for%20Adults%2C%20Ages%2018%2B%20with%20Realistic%20Features%20-%20Red%20Bull%20F1%20DIY%20Crafts%20for%20Display%20-%20Gift%20Idea%20for%20Fans%20-%2077243,
Redbull,5,Red Bull Racing F1 Men's 2026 Team T-Shirt,https://www.amazon.com/s?k=Red%20Bull%20Racing%20F1%20Men%27s%202026%20Team%20T-Shirt,
Williams,1,x Williams Racing F1 Team CVC Media Men's Polo Shirt,https://www.amazon.com/s?k=x%20Williams%20Racing%20F1%20Team%20CVC%20Media%20Men%27s%20Polo%20Shirt,
Williams,2,"x Williams Racing Team Presentation Full Zip Men's Jacket, Peacoat/Diva Blue",https://www.amazon.com/s?k=x%20Williams%20Racing%20Team%20Presentation%20Full%20Zip%20Men%27s%20Jacket%2C%20Peacoat/Diva%20Blue,
Williams,3,"LEGO Speed Champions Williams Racing FW46 F1 Race Car Toy - Building Set for Kids, Boys & Girls, Ages 10+ - Toy Car for F1 Fans - Gift Idea for Birthday - 77249",https://www.amazon.com/s?k=LEGO%20Speed%20Champions%20Williams%20Racing%20FW46%20F1%20Race%20Car%20Toy%20-%20Building%20Set%20for%20Kids%2C%20Boys%20%26%20Girls%2C%20Ages%2010%2B%20-%20Toy%20Car%20for%20F1%20Fans%20-%20Gift%20Idea%20for%20Birthday%20-%2077249,
Williams,4,Williams F1 Team Race Car,https://www.amazon.com/s?k=Williams%20F1%20Team%20Race%20Car,
Williams,5,"Hot Wheels Williams Racing [Blue], Track Aces 1/5, 59/250, 1:64 Scale Diecast Car",https://www.amazon.com/s?k=Hot%20Wheels%20Williams%20Racing%20%5BBlue%5D%2C%20Track%20Aces%201/5%2C%2059/250%2C%201%3A64%20Scale%20Diecast%20Car,
Mercedes,1,Red Bull Racing F1 Men's 2025 Team Polo Shirt,https://www.amazon.com/s?k=Red%20Bull%20Racing%20F1%20Men%27s%202025%20Team%20Polo%20Shirt,
Mercedes,2,"LEGO Speed Champions Mercedes-AMG F1 W15 Race Car Toy - Building Set for Kids, Boys & Girls, Ages 10+ - Toy Car for F1 Fans - Gift Idea for Birthday - 77244",https://www.amazon.com/s?k=LEGO%20Speed%20Champions%20Mercedes-AMG%20F1%20W15%20Race%20Car%20Toy%20-%20Building%20Set%20for%20Kids%2C%20Boys%20%26%20Girls%2C%20Ages%2010%2B%20-%20Toy%20Car%20for%20F1%20Fans%20-%20Gift%20Idea%20for%20Birthday%20-%2077244,
Mercedes,3,"Mercedes AMG Petronas F1 Sherpa Blanket – Official Formula 1 Merchandise, Ultra Soft Fleece Throw with Warm Sherpa Reverse, Premium Cozy Blanket for Sofa Bed Travel, 47x59 in",https://www.amazon.com/s?k=Mercedes%20AMG%20Petronas%20F1%20Sherpa%20Blanket%20%E2%80%93%20Official%20Formula%201%20Merchandise%2C%20Ultra%20Soft%20Fleece%20Throw%20with%20Warm%20Sherpa%20Reverse%2C%20Premium%20Cozy%20Blanket%20for%20Sofa%20Bed%20Travel%2C%2047x59%20in,
Mercedes,4,Formula 1 Mens Mercedes - Amg Petronas Formula One Team Graphic T-Shirt,https://www.amazon.com/s?k=Formula%201%20Mens%20Mercedes%20-%20Amg%20Petronas%20Formula%20One%20Team%20Graphic%20T-Shirt,
Mercedes,5,Racer Hat,https://www.amazon.com/s?k=Racer%20Hat,
